,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,2022-08-31,3,0,0.55,4,2,50.0,303,234,77.23,37.82,117,30,40,47,86,46,30,10,204,106,51.96,1,0,0.0,20,3,15.0,1,0,0.0,29,1,3.45,2,1,50.0,2,0,0.0,0,0,0,6,3,50.0,3,7,15,5,4,15,65,26,40.0,0,0,17,3,17.65,73,47,64.38,32,17,53.13,5,3,60.0,44,28,11,2,0,123,78,63.41,37,35,94.59,91,85,93.41,31,18,58.06,29,19,65.52,54,32,59.26,5,2,40.0,21,19,90.48,12,15.05,2.97,10.23,16.82,17.92,12.64,1,0
11,11,2022-08-27,2,0,0.47,5,2,40.0,262,196,74.81,35.34,104,20,55,29,83,52,31,0,177,83,46.89,2,1,50.0,14,2,14.29,1,0,0.0,16,3,18.75,1,0,0.0,2,2,100.0,0,0,0,3,0,0.0,0,4,8,2,2,8,49,20,40.82,0,9,20,15,75.0,63,36,57.14,41,20,48.78,3,1,33.33,50,14,5,1,0,115,69,60.0,50,47,94.0,54,47,87.04,42,20,47.62,32,15,46.88,52,28,53.85,2,1,50.0,19,17,89.47,11,13.72,2.88,16.03,18.43,18.53,19.1,0,-1
12,12,2022-08-20,5,0,0.36,6,1,16.67,387,311,80.36,40.39,103,23,40,40,73,37,25,11,203,91,44.83,2,0,0.0,21,5,23.81,0,0,0.0,23,0,0.0,3,0,0.0,1,0,0.0,0,0,0,9,4,44.44,4,1,15,1,8,9,60,20,33.33,1,3,13,6,46.15,74,42,56.76,37,14,37.84,3,2,66.67,39,11,13,1,0,141,101,71.63,53,46,86.79,140,124,88.57,40,24,60.0,38,21,55.26,66,37,56.06,1,0,0.0,27,25,92.59,7,18.14,4.16,10.34,18.29,18.89,15.08,1,-1
13,13,2022-08-13,12,0,0.29,4,1,25.0,299,248,82.94,31.36,86,32,35,19,48,33,9,6,151,67,44.37,2,1,50.0,7,2,28.57,4,0,0.0,24,2,8.33,1,0,0.0,0,0,0.0,0,0,0,5,3,60.0,3,1,8,0,4,5,34,15,44.12,1,4,19,9,47.37,52,26,50.0,29,12,41.38,2,1,50.0,33,17,9,3,0,101,74,73.27,58,55,94.83,102,90,88.24,45,26,57.78,22,11,50.0,56,30,53.57,3,0,0.0,9,8,88.89,15,17.69,4.6,15.05,17.97,20.75,41.89,0,-1
14,14,2022-08-06,1,2,0.66,6,3,50.0,278,204,73.38,34.92,107,32,36,39,83,52,26,5,220,102,46.36,2,0,0.0,13,2,15.38,0,0,0.0,36,4,11.11,5,1,20.0,2,1,50.0,0,0,0,8,2,25.0,3,3,9,2,3,8,53,22,41.51,0,0,16,2,12.5,88,47,53.41,39,17,43.59,6,3,50.0,50,27,18,3,0,111,68,61.26,32,31,96.88,84,70,83.33,47,23,48.94,32,16,50.0,57,25,43.86,0,0,0.0,14,14,100.0,12,16.09,2.6,16.91,16.68,20.01,15.45,1,1
15,15,2020-07-26,3,3,1.63,11,7,63.64,278,211,75.9,35.08,113,23,24,66,83,36,25,22,237,116,48.95,5,1,20.0,31,4,12.9,7,2,28.57,19,3,15.79,5,1,20.0,6,1,16.67,1,1,100,19,9,47.37,8,13,30,4,14,19,82,29,35.37,1,1,13,5,38.46,75,47,62.67,47,23,48.94,2,2,100.0,48,17,9,0,0,116,80,68.97,38,34,89.47,73,56,76.71,46,26,56.52,42,28,66.67,61,47,77.05,7,2,28.57,22,17,77.27,3,14.43,2.65,16.55,17.23,18.75,15.73,0,1
16,16,2020-07-19,3,0,0.82,11,3,27.27,254,177,69.69,45.38,135,17,32,86,91,26,48,17,297,147,49.49,4,0,0.0,33,5,15.15,5,0,0.0,26,6,23.08,12,6,50.0,5,0,0.0,0,0,0,19,6,31.58,7,7,25,2,11,16,58,20,34.48,2,2,15,8,53.33,77,48,62.34,89,41,46.07,5,2,40.0,51,18,12,2,0,125,81,64.8,33,31,93.94,63,47,74.6,48,34,70.83,62,41,66.13,73,58,79.45,4,3,75.0,31,26,83.87,4,13.92,2.15,18.9,16.38,23.25,5.37,0,1
17,17,2020-07-15,1,1,2.34,15,4,26.67,254,187,73.62,26.79,104,16,28,60,76,24,35,17,186,90,48.39,2,1,50.0,28,7,25.0,1,1,100.0,23,6,26.09,5,1,20.0,2,0,0.0,0,0,0,19,10,52.63,12,12,28,3,8,32,51,21,41.18,2,2,7,3,42.86,48,28,58.33,50,27,54.0,6,4,66.67,42,10,10,1,0,102,68,66.67,38,36,94.74,72,54,75.0,46,25,54.35,43,27,62.79,68,47,69.12,5,5,100.0,20,18,90.0,7,17.4,3.02,18.11,14.14,20.66,20.71,0,-1
18,18,2020-07-12,3,4,1.87,9,4,44.44,404,317,78.47,47.15,126,16,36,74,99,40,43,16,203,93,45.81,2,1,50.0,37,6,16.22,1,0,0.0,18,2,11.11,2,0,0.0,3,1,33.33,1,1,100,12,4,33.33,4,4,16,2,9,13,80,30,37.5,4,1,14,7,50.0,54,30,55.56,43,21,48.84,4,1,25.0,73,24,11,2,0,166,111,66.87,72,67,93.06,101,86,85.15,62,38,61.29,68,44,64.71,84,67,79.76,10,1,10.0,26,22,84.62,5,16.94,3.37,15.35,16.22,20.0,12.43,0,-1
19,19,2020-07-09,3,0,2.36,8,2,25.0,253,195,77.08,34.9,120,25,29,66,81,28,34,19,202,96,47.52,2,1,50.0,23,4,17.39,6,1,16.67,28,3,10.71,8,1,12.5,6,2,33.33,0,0,0,15,6,40.0,6,8,22,3,12,16,72,26,36.11,1,0,8,0,0.0,48,36,75.0,45,21,46.67,6,4,66.67,44,27,11,3,0,103,69,66.99,46,45,97.83,77,66,85.71,26,13,50.0,47,32,68.09,57,40,70.18,3,1,33.33,22,17,77.27,10,14.57,2.22,10.28,11.99,20.87,13.52,0,0
20,20,2020-07-04,3,2,1.28,7,3,42.86,260,206,79.23,32.35,80,20,27,33,51,27,15,9,158,70,44.3,2,1,50.0,20,4,20.0,10,1,10.0,16,1,6.25,3,0,0.0,1,1,100.0,1,1,100,7,2,28.57,2,3,12,3,5,10,43,12,27.91,3,5,19,11,57.89,59,29,49.15,28,16,57.14,5,2,40.0,56,17,13,1,0,102,69,67.65,40,39,97.5,78,68,87.18,34,19,55.88,40,25,62.5,64,42,65.63,4,1,25.0,15,15,100.0,7,15.77,3.06,13.08,15.61,19.68,15.61,0,-1
21,21,2020-07-01,3,1,1.68,11,1,9.09,476,418,87.82,55.54,98,12,30,56,76,32,36,8,198,107,54.04,8,0,0.0,36,6,16.67,0,0,0.0,22,4,18.18,6,1,16.67,5,3,60.0,0,0,0,8,4,50.0,4,11,18,5,5,19,67,33,49.25,2,4,13,7,53.85,58,40,68.97,40,21,52.5,1,0,0.0,17,6,10,2,0,155,116,74.84,67,65,97.01,200,190,95.0,31,18,58.06,58,44,75.86,72,63,87.5,2,0,0.0,19,16,84.21,4,17.1,4.71,6.51,17.93,19.65,21.4,0,1
22,22,2020-06-24,1,0,0.06,3,0,0.0,329,266,80.85,47.04,92,15,27,50,64,25,29,10,177,87,49.15,3,0,0.0,30,1,3.33,0,0,0.0,22,2,9.09,4,1,25.0,4,0,0.0,0,0,0,11,2,18.18,2,1,16,2,7,5,54,27,50.0,2,1,9,3,33.33,64,32,50.0,33,16,48.48,7,2,28.57,41,13,11,3,0,97,66,68.04,46,40,86.96,130,117,90.0,32,14,43.75,44,26,59.09,41,30,73.17,2,1,50.0,26,21,80.77,9,14.7,3.36,9.73,26.2,18.69,14.43,0,-1
23,23,2020-06-20,4,0,0.39,9,1,11.11,461,387,83.95,57.69,107,16,33,58,71,28,35,8,217,109,50.23,6,0,0.0,29,6,20.69,0,0,0.0,34,2,5.88,11,2,18.18,3,0,0.0,0,0,0,8,2,25.0,2,9,20,2,4,15,88,41,46.59,2,2,7,2,28.57,63,42,66.67,38,15,39.47,8,2,25.0,24,4,13,3,0,137,100,72.99,57,55,96.49,193,175,90.67,34,20,58.82,60,43,71.67,50,35,70.0,2,1,50.0,20,18,90.0,5,16.72,4.7,7.38,20.8,18.42,8.58,0,1
24,24,2020-03-07,4,1,0.92,6,4,66.67,236,157,66.53,27.26,122,44,28,50,78,47,18,13,174,80,45.98,1,1,100.0,18,1,5.56,6,4,66.67,21,1,4.76,4,1,25.0,2,0,0.0,0,0,0,11,4,36.36,4,3,14,2,8,10,40,14,35.0,5,2,13,6,46.15,63,34,53.97,41,21,51.22,7,4,57.14,70,29,11,1,0,113,62,54.87,30,28,93.33,58,40,68.97,38,17,44.74,36,15,41.67,55,31,56.36,7,5,71.43,16,13,81.25,8,16.85,2.21,16.1,16.37,19.51,14.3,0,-1
25,25,2020-02-29,4,2,2.09,8,5,62.5,291,225,77.32,29.67,115,32,39,44,80,36,31,13,173,73,42.2,0,0,0.0,18,7,38.89,4,0,0.0,16,1,6.25,4,1,25.0,1,0,0.0,0,0,0,9,5,55.56,5,5,14,0,5,11,57,19,33.33,1,2,20,7,35.0,48,24,50.0,35,15,42.86,5,2,40.0,88,41,8,2,0,123,80,65.04,44,40,90.91,74,67,90.54,39,22,56.41,42,20,47.62,60,41,68.33,5,0,0.0,16,11,68.75,9,17.39,2.94,13.4,9.11,18.74,15.53,0,0
26,26,2020-02-22,10,0,1.55,12,5,41.67,422,342,81.04,60.05,110,27,38,45,78,44,23,11,186,75,40.32,6,2,33.33,34,9,26.47,1,1,100.0,15,1,6.67,3,1,33.33,3,0,0.0,0,0,0,17,6,35.29,6,6,21,1,10,17,59,15,25.42,1,3,16,10,62.5,57,31,54.39,35,16,45.71,8,1,12.5,46,26,9,3,0,163,116,71.17,60,56,93.33,133,114,85.71,34,13,38.24,49,32,65.31,78,51,65.38,7,2,28.57,22,20,90.91,5,15.94,3.87,8.06,19.21,18.07,8.13,0,-1
27,27,2020-02-09,4,1,1.59,9,2,22.22,378,293,77.51,45.01,136,43,41,52,87,42,33,12,227,100,44.05,2,0,0.0,27,3,11.11,5,2,40.0,20,4,20.0,4,2,50.0,3,1,33.33,0,0,0,16,9,56.25,8,4,21,2,9,19,63,20,31.75,1,2,13,6,46.15,55,32,58.18,72,30,41.67,3,0,0.0,58,45,8,3,0,148,94,63.51,54,46,85.19,105,94,89.52,48,22,45.83,56,34,60.71,72,48,66.67,8,2,25.0,22,20,90.91,8,17.15,3.18,12.7,13.28,19.27,12.57,0,-1
28,28,2020-02-01,4,2,2.58,16,7,43.75,276,197,71.38,38.83,120,28,37,55,79,35,26,18,207,112,54.11,9,4,44.44,28,9,32.14,3,0,0.0,29,5,17.24,1,0,0.0,6,6,100.0,0,0,0,13,5,38.46,5,7,18,5,4,25,44,26,59.09,0,1,15,4,26.67,57,35,61.4,57,26,45.61,7,2,28.57,57,34,10,2,1,118,74,62.71,34,29,85.29,72,61,84.72,39,18,46.15,33,16,48.48,65,42,64.62,3,1,33.33,23,23,100.0,13,15.61,2.36,14.13,19.13,19.9,10.8,0,-1
29,29,2020-01-21,2,3,1.88,11,3,27.27,266,206,77.44,33.91,88,15,34,39,80,33,33,14,198,94,47.47,4,0,0.0,22,7,31.82,5,1,20.0,26,3,11.54,5,1,20.0,3,1,33.33,0,0,0,9,2,22.22,2,6,13,3,1,24,60,21,35.0,2,1,21,8,38.1,63,38,60.32,28,13,46.43,6,4,66.67,57,16,9,1,0,108,73,67.59,43,37,86.05,68,61,89.71,35,18,51.43,36,22,61.11,46,26,56.52,3,1,33.33,12,10,83.33,11,15.68,2.71,13.16,16.0,19.09,10.66,0,-1
30,30,2020-01-18,4,0,0.48,4,3,75.0,275,212,77.09,35.73,115,26,38,51,86,37,37,12,219,102,46.58,1,0,0.0,15,2,13.33,0,0,0.0,21,2,9.52,5,1,20.0,4,1,25.0,0,0,0,9,5,55.56,5,1,10,1,6,10,52,19,36.54,3,1,18,5,27.78,61,37,60.66,55,29,52.73,7,2,28.57,46,19,10,2,1,108,70,64.81,44,39,88.64,90,78,86.67,42,20,47.62,43,26,60.47,53,36,67.92,3,0,0.0,17,17,100.0,11,15.63,2.89,15.27,13.42,20.01,11.47,0,-1
31,31,2020-01-12,6,0,0.41,11,1,9.09,485,403,83.09,55.88,135,15,51,69,88,35,42,11,266,118,44.36,8,1,12.5,32,5,15.63,3,0,0.0,31,5,16.13,5,1,20.0,5,1,20.0,0,0,0,17,9,52.94,9,7,21,1,12,10,85,30,35.29,0,3,17,6,35.29,56,34,60.71,83,36,43.37,7,2,28.57,61,13,3,1,0,166,124,74.7,47,44,93.62,173,150,86.71,47,24,51.06,58,39,67.24,89,64,71.91,3,0,0.0,23,23,100.0,8,16.82,4.18,9.69,23.36,18.09,9.32,0,1
32,32,2020-01-01,4,0,0.54,3,2,66.67,591,524,88.66,56.74,112,17,48,47,78,31,41,6,219,99,45.21,0,0,0.0,21,1,4.76,4,1,25.0,14,1,7.14,2,0,0.0,0,0,0.0,0,0,0,15,2,13.33,3,5,26,3,8,11,77,24,31.17,3,4,14,7,50.0,70,36,51.43,43,28,65.12,5,2,40.0,42,17,12,2,0,174,134,77.01,87,85,97.7,257,245,95.33,41,28,68.29,49,37,75.51,81,64,79.01,12,5,41.67,19,18,94.74,8,18.24,6.16,6.94,14.22,18.18,15.53,0,-1
33,33,2019-12-28,3,0,0.77,10,2,20.0,382,307,80.37,45.28,111,33,42,36,82,34,39,9,192,88,45.83,4,0,0.0,27,3,11.11,2,0,0.0,22,4,18.18,2,2,100.0,1,1,100.0,0,0,0,8,2,25.0,1,7,19,7,4,11,56,18,32.14,0,2,16,4,25.0,62,39,62.9,46,21,45.65,4,3,75.0,44,28,11,2,0,128,90,70.31,57,47,82.46,126,111,88.1,29,15,51.72,42,33,78.57,65,45,69.23,7,3,42.86,18,18,100.0,9,16.81,3.6,7.59,17.74,18.1,11.78,0,-1
34,34,2019-12-26,4,1,1.15,10,6,60.0,349,272,77.94,40.45,102,25,31,46,61,35,17,9,154,71,46.1,4,3,75.0,25,4,16.0,3,3,100.0,32,2,6.25,8,1,12.5,3,0,0.0,0,0,0,16,4,25.0,5,9,19,6,4,20,56,19,33.93,1,1,14,2,14.29,53,30,56.6,20,9,45.0,6,1,16.67,56,10,5,4,0,130,93,71.54,56,48,85.71,111,94,84.68,34,16,47.06,43,29,67.44,78,48,61.54,5,2,40.0,21,20,95.24,10,15.55,3.36,9.74,17.77,19.6,17.64,0,0
35,35,2019-12-21,4,0,0.42,4,0,0.0,439,350,79.73,64.49,115,14,43,58,87,45,32,10,172,94,54.65,2,0,0.0,24,1,4.17,3,0,0.0,27,3,11.11,4,2,50.0,6,0,0.0,0,0,0,17,3,17.65,2,8,30,1,12,11,53,25,47.17,2,1,2,1,50.0,44,31,70.45,45,22,48.89,2,1,50.0,33,29,13,2,0,147,102,69.39,61,56,91.8,173,145,83.82,42,19,45.24,48,26,54.17,65,40,61.54,4,1,25.0,24,21,87.5,3,16.44,3.88,9.57,18.13,20.43,6.76,0,1
36,36,2019-12-14,4,1,0.63,6,2,33.33,289,209,72.32,37.03,136,43,35,58,93,47,26,20,226,101,44.69,0,0,0.0,20,2,10.0,5,1,20.0,23,3,13.04,4,2,50.0,2,0,0.0,0,0,0,14,4,28.57,4,9,24,3,9,21,68,29,42.65,1,0,14,6,42.86,64,31,48.44,57,26,45.61,6,3,50.0,76,30,14,2,0,134,80,59.7,43,41,95.35,83,68,81.93,50,25,50.0,47,23,48.94,60,39,65.0,5,3,60.0,26,26,100.0,6,14.53,2.49,17.3,14.04,21.39,12.71,0,1
37,37,2019-12-07,3,0,0.48,4,0,0.0,298,209,70.13,24.39,109,36,37,36,71,50,16,5,135,68,50.37,0,0,0.0,13,3,23.08,3,0,0.0,11,1,9.09,1,0,0.0,1,1,100.0,0,0,0,5,1,20.0,1,2,7,0,4,5,43,16,37.21,4,3,19,9,47.37,44,29,65.91,26,11,42.31,4,2,50.0,69,21,5,0,0,126,66,52.38,41,38,92.68,82,69,84.15,45,15,33.33,40,16,40.0,71,25,35.21,1,0,0.0,15,15,100.0,10,21.01,3.27,15.1,14.38,19.29,29.72,0,1
38,38,2019-12-03,3,0,0.55,5,3,60.0,559,492,88.01,67.46,76,14,19,43,75,37,22,16,209,107,51.2,2,1,50.0,34,2,5.88,3,1,33.33,22,2,9.09,9,1,11.11,2,1,50.0,0,0,0,24,3,12.5,3,15,27,1,13,23,49,11,22.45,0,1,7,2,28.57,82,53,64.63,42,28,66.67,1,0,0.0,32,21,14,3,0,176,148,84.09,92,90,97.83,216,196,90.74,34,22,64.71,72,57,79.17,75,58,77.33,3,2,66.67,18,18,100.0,6,16.53,5.53,6.08,17.2,19.93,7.2,0,-1
39,39,2019-11-30,3,2,1.26,18,6,33.33,397,327,82.37,41.1,115,27,35,53,68,36,21,11,232,81,34.91,9,5,55.56,23,9,39.13,4,1,25.0,25,7,28.0,8,3,37.5,3,1,33.33,0,0,0,17,6,35.29,7,8,25,3,8,23,75,24,32.0,0,3,12,5,41.67,62,30,48.39,53,14,26.42,5,5,100.0,52,16,12,2,0,143,104,72.73,55,51,92.73,138,122,88.41,41,25,60.98,55,33,60.0,72,53,73.61,9,3,33.33,20,20,100.0,8,17.88,4.09,10.33,21.28,19.56,8.63,0,-1
40,40,2019-11-23,12,1,1.14,9,2,22.22,413,348,84.26,46.13,91,17,28,46,53,25,20,8,176,69,39.2,2,0,0.0,22,3,13.64,1,0,0.0,25,6,24.0,5,2,40.0,3,5,166.67,0,0,0,11,5,45.45,4,3,24,0,9,10,60,21,35.0,0,2,19,7,36.84,51,22,43.14,41,17,41.46,1,0,0.0,36,21,10,3,1,123,84,68.29,72,72,100.0,164,147,89.63,34,16,47.06,42,25,59.52,62,39,62.9,3,0,0.0,21,20,95.24,6,16.66,4.05,8.23,16.24,20.04,21.06,0,1
41,41,2019-11-09,3,1,1.73,16,4,25.0,522,444,85.06,63.59,121,26,30,65,82,37,30,15,201,95,47.26,8,1,12.5,42,8,19.05,3,0,0.0,22,3,13.64,4,4,100.0,5,0,0.0,0,0,0,23,8,34.78,7,11,29,4,13,21,65,30,46.15,1,2,19,8,42.11,64,35,54.69,46,19,41.3,1,1,100.0,44,25,5,0,0,161,121,75.16,64,56,87.5,208,194,93.27,37,14,37.84,69,50,72.46,85,65,76.47,8,7,87.5,25,24,96.0,5,16.24,4.5,7.09,16.88,18.82,8.62,0,-1
42,42,2019-11-02,3,1,1.22,11,6,54.55,339,260,76.7,47.79,102,22,34,46,77,38,24,15,224,92,41.07,4,0,0.0,28,3,10.71,5,2,40.0,26,5,19.23,4,0,0.0,2,1,50.0,0,0,0,11,3,27.27,2,7,20,2,5,15,69,22,31.88,2,0,14,4,28.57,74,40,54.05,26,14,53.85,7,1,14.29,62,27,14,4,0,137,93,67.88,53,48,90.57,104,87,83.65,41,18,43.9,45,26,57.78,73,52,71.23,2,0,0.0,22,20,90.91,8,14.54,2.87,12.09,19.25,21.02,6.58,0,-1
