,Win
760,0
1191,0
1172,2
357,1
124,0
14,2
38,0
763,2
683,2
435,1
1082,2
86,0
209,2
522,1
572,0
358,1
1093,2
498,2
468,0
262,1
557,1
1201,0
739,2
85,2
869,1
715,2
814,0
1184,2
183,2
853,0
222,2
342,2
180,0
1196,2
470,2
1229,0
1036,0
732,1
747,0
12,2
755,0
612,2
773,2
475,2
1222,2
696,1
520,1
503,0
1129,1
932,2
751,2
197,0
314,0
986,0
596,0
714,1
114,2
1044,1
41,0
199,0
801,0
930,0
1049,2
411,1
271,2
285,0
553,2
1037,2
589,2
378,2
883,2
128,2
1143,0
57,2
1069,0
940,1
312,1
363,2
1231,0
599,2
76,0
234,2
1034,2
649,0
543,1
709,0
545,1
928,2
761,0
1185,0
74,1
233,1
1190,1
339,0
858,0
1101,0
191,2
469,2
1214,0
1080,1
1003,0
958,0
274,0
350,0
278,2
450,0
485,2
268,2
157,2
410,2
708,2
219,2
381,0
1135,2
546,2
1012,2
230,1
286,1
1076,0
606,2
590,2
215,2
442,1
306,1
156,0
693,2
459,1
769,2
992,2
829,0
390,0
373,2
567,2
1136,2
684,2
414,2
1032,2
272,2
786,2
168,2
1170,0
37,2
744,1
1011,2
915,0
331,0
480,0
588,1
559,0
966,1
1047,0
927,1
170,2
653,0
905,0
21,0
784,2
613,1
174,0
1202,1
61,0
301,2
1150,2
193,2
400,0
1092,0
275,1
875,0
1024,0
710,0
493,2
478,2
925,2
120,1
962,2
931,0
127,2
153,1
252,2
1204,2
770,0
1103,1
212,2
117,1
431,2
98,0
328,1
483,0
711,2
592,2
1074,0
75,1
165,2
1166,1
437,2
375,2
564,0
754,0
838,2
422,0
1086,0
970,1
1123,2
660,2
534,1
1161,0
1120,0
359,1
548,0
433,2
699,2
32,0
1200,2
80,2
66,0
846,0
1162,1
36,2
620,0
1173,0
161,2
666,0
622,2
100,1
750,0
562,0
495,2
574,0
1083,0
401,0
907,2
1057,1
316,2
1014,0
1234,1
298,0
460,0
304,0
519,0
340,2
1105,2
1169,0
18,1
818,1
443,2
360,1
7,0
176,2
810,1
349,1
762,2
240,2
385,2
920,0
308,0
876,0
269,2
229,2
136,0
537,2
585,2
984,2
723,2
294,2
808,0
517,1
203,2
345,2
586,0
863,2
871,2
138,0
903,1
430,2
108,1
1146,0
341,2
1050,2
1199,2
885,2
787,1
648,0
35,2
429,1
1145,2
834,2
139,2
658,2
581,2
974,0
836,0
490,0
389,2
1052,2
644,2
1019,2
83,0
335,2
1046,0
1097,2
1040,2
1186,0
722,0
874,2
650,2
1225,1
720,1
1165,0
1224,2
735,2
1228,0
759,2
213,2
362,0
89,0
1124,1
1125,1
512,1
646,0
1062,1
263,0
1023,2
530,1
1138,1
980,1
614,0
23,2
1139,2
594,2
346,1
752,0
809,0
1193,2
354,1
629,0
253,0
305,2
554,0
746,2
727,1
17,0
506,2
102,0
384,2
1207,2
393,0
1073,2
789,1
540,1
408,0
1091,1
251,2
643,1
300,0
914,1
509,0
419,1
535,2
192,2
698,2
952,0
87,0
30,1
607,2
447,2
923,0
615,0
118,2
950,2
372,0
257,0
466,0
680,0
591,0
652,0
50,2
54,0
954,0
641,1
291,0
813,0
1223,1
753,1
802,2
92,2
835,0
736,0
303,0
371,0
491,0
657,2
776,0
626,1
942,0
1084,2
59,0
792,2
740,2
386,2
969,0
106,2
249,0
593,1
88,0
1002,0
766,2
44,0
1178,0
474,1
879,0
906,0
779,2
1163,2
1141,1
638,2
1041,2
205,1
1042,0
568,2
866,2
1180,1
484,2
690,1
1027,2
505,2
544,2
515,1
884,2
686,2
6,1
560,1
440,0
55,1
1008,0
141,2
851,0
1233,0
667,2
62,2
631,0
1215,0
513,0
380,2
313,0
583,0
897,0
532,2
850,1
508,0
273,2
135,1
742,1
1113,0
728,2
937,1
11,2
669,1
605,1
679,2
830,0
1198,0
758,1
420,1
864,2
261,2
334,2
277,1
610,2
220,2
929,2
13,2
280,2
142,2
1077,0
338,0
916,2
855,2
416,1
73,0
19,0
868,0
370,0
147,2
618,2
228,1
265,1
1,2
1118,2
640,1
533,0
634,2
1038,2
1209,1
881,2
283,2
129,0
757,0
289,1
143,2
126,2
103,2
497,1
287,2
488,0
1016,1
1009,0
16,2
479,1
137,1
188,0
111,0
1067,2
112,0
1078,0
1167,2
878,2
1079,1
276,1
847,0
1090,1
1065,1
817,2
833,2
158,2
797,0
107,2
457,0
800,1
973,2
379,2
1087,2
828,2
768,0
1174,2
1071,2
1121,1
600,1
295,2
242,0
1153,0
417,0
901,1
1195,1
56,2
207,0
432,2
309,0
255,2
352,1
935,2
1072,0
445,1
231,2
1054,2
1108,0
886,0
909,2
894,2
293,2
733,2
996,2
1144,0
982,1
1126,1
523,0
438,1
981,1
1211,2
163,0
617,1
1192,2
3,2
862,2
221,0
95,0
1206,0
78,2
663,0
4,0
516,0
382,0
52,0
150,0
320,0
558,2
843,0
912,0
578,0
1025,2
34,2
235,2
244,2
1133,2
1070,1
465,1
1177,2
921,0
538,0
1158,2
781,1
539,0
988,1
994,1
796,2
911,0
956,2
627,2
570,2
790,2
741,0
941,0
1045,0
536,2
42,2
541,2
724,1
26,0
1021,1
1056,1
324,0
1131,2
977,1
177,0
29,2
959,0
677,0
639,2
20,2
248,0
113,0
446,0
402,1
922,1
837,1
452,2
167,0
597,0
1152,2
528,1
731,0
279,0
171,0
654,0
661,2
983,1
33,0
782,1
70,2
173,1
464,0
566,2
719,2
1075,1
946,1
1189,0
987,2
154,0
140,0
1107,2
24,1
200,2
1181,2
453,0
1085,2
1001,0
387,2
365,2
1155,2
511,0
767,2
367,0
1033,2
1095,2
186,2
656,2
318,0
542,0
256,1
101,0
687,0
123,1
957,0
125,0
1168,2
238,2
109,1
302,2
743,2
1187,1
48,2
1055,0
71,0
1235,2
1005,2
551,2
804,1
1208,2
330,1
184,2
563,1
706,0
1140,2
266,2
115,2
890,2
104,0
1236,0
39,0
812,0
756,2
1164,1
1060,1
348,2
997,0
798,2
697,0
662,2
1039,2
918,2
633,0
259,0
745,2
60,2
891,2
152,0
1142,1
1043,2
510,2
130,0
873,2
635,0
655,2
122,2
603,2
651,0
473,0
821,2
1059,2
1220,2
28,2
455,0
1112,0
623,0
857,2
239,2
353,1
319,2
716,0
1213,2
726,2
824,1
201,2
1015,2
463,1
1094,1
775,2
816,2
332,2
672,0
2,1
712,0
647,1
1227,0
489,2
608,1
549,1
771,0
333,0
217,0
225,0
811,0
910,2
175,1
550,2
391,1
145,1
206,1
1130,1
227,0
132,0
948,1
692,0
444,2
527,1
1029,2
90,1
718,0
604,2
436,1
700,1
25,0
877,0
413,0
1111,0
27,2
1147,1
972,0
406,2
270,1
67,2
290,0
867,1
951,0
245,0
264,2
501,2
575,2
502,0
806,1
926,0
477,2
64,2
179,2
282,2
938,0
1018,0
427,2
799,2
859,2
848,1
844,1
976,2
999,2
803,2
426,2
998,2
164,2
246,2
1053,2
492,0
893,0
337,2
582,2
326,1
778,2
953,0
1134,1
609,0
717,2
616,2
58,1
178,0
730,2
964,2
46,1
703,1
805,2
1128,2
785,0
22,0
